review_id,business_id,user_id,stars,date,text,useful,funny,cool
M5QTXCgxi6yGHnrODtmqsw,OcrcitVhcUKR11Rr4GCrCw,EryvaUTsMnk26eiauFWapQ,5.0,2017-12-29 23:15:55,"Was on a mission trying to find the perfect coat for the Holidays. Found my idea of the perfect coat at Burlington but they did not have my size. Went to Target, bought a coat but ended up taking it bath. Was not my dream coat. Next stop Ross. The only coat in my size was a beautiful Bomber style jacket made of pleather. Bought it right before Christmas. Now it's a few days after Christmas and my husband Guy points out to me that the coat is really wrinkled. I go on line and look up every possible hack to get wrinkles out of pleather. They all fail miserably. I just went back to Ross with that coat, no receipt, no tags and asked to speak to the manager. The manager is a young male with dark hair and black framed glasses. I tell him of my plight. He literally says go find what you need, no problem. WOW! You won't believe it, but there was my Camouflage coat, in my size, hanging there waiting for me. Oh the irony! They exchanged my coat and after all that I ended up with my Dream coat after all. Thank you Ross Dress for Less. You will forever be my first choice for now on!",1,0,1
rknc50qaWzqlAHv3yHfSfA,OcrcitVhcUKR11Rr4GCrCw,53ExUFCVkGlmSEx6vr1V3A,2.0,2012-03-01 21:04:32,"I'm all about the bargains, but, can someone PLEASE clean the door handles???  I walked in at 10am this morning-the door handles on their double entrance doors and the door frame area around the handles were FILTHY!!!   I couldn't wait to clean my hands after being in this store-and it should NOT be that way.   No excuse, all the staff were standing around talking.    People, take some pride, huh, what about it???",0,0,0
HB_xCzE-T6nraMyrE3qQig,stiI0Uob68223WrbjyIySw,Um5bfs5DH6eizgjH3xZsvg,4.0,2014-08-25 00:28:39,"I love shopping at Ross Stores. I stop at every one I come across. Yes, much of the merchandise is the same, but once in a while, you find a gem. It really is a treasure hunt.   They carry a selection of ""as seen on Tv"" stuff, a slew of Jr's clothing, a decent selection of ladies and missy, but they generally fail at plus, men's and petite.  These markets are woefully represented. Sure they have a men's section, but looking through the stuff, it's crappy t shirts and fubu jeans. Hardly anything the men in my life would wear.  This particular store's selection of lingerie/under garments is sad. They don't have a good variety of lingerie other than bras and panties.  Their home goods is very nicely situated as are their bed and bath items ... and their shoes!! My goodnes, their shoes are to die for!  One rhing I've noticed recently is that they are carrying many more high end designers: Michael Kors, Calvin Klein, and others at decent prices. So it does pay to shop at Ross.",2,1,1
kWY4Ymj11Y3N9qbIVSPdtg,OcrcitVhcUKR11Rr4GCrCw,oNk4xC_a5Yjd1aINcy1DSA,4.0,2018-03-16 22:26:13,"Maybe my favorite location to visit at least once a week, especially when on this side of town. Their selection is random but unlike most other locations this one usually have items in my size especially shoes and sometimes hats but most of all its all about the ""Selections"" that draw me here. So I suggest you make a stop if you have the time.   One thing I learned about shopping at Ross, if you see something you like buy it. Don't wait, because it may not be there next time.",0,0,0
BNtyscZwQCrEnMEgjbx0mA,OcrcitVhcUKR11Rr4GCrCw,KZYfKyOIwcsDNHGJF0OHCw,4.0,2017-07-09 00:37:10,I love this store. I can find everything I need at this location!  Added 7/8/'17: My son lost over 50 pounds and we were able to outfield him with new clothes for his new figure for very little money. Yeah hey Ross‼,0,0,1
kHKt_XoC6bXtqPm4jjsRbQ,OcrcitVhcUKR11Rr4GCrCw,5hj10ibSwPLUEkqKqaSSSQ,2.0,2013-05-10 22:53:35,"I have to agree with all the posts about the security at Ross (all Ross stores now).  It's one thing to have loss prevention staff to help your business save money, but over-aggressive, watch every move you make security staff are intrusive and rude.  I don't think I look like your typical shoplifter (maybe I do?? LOL), and the day I shopped for almost two hours I spent over $225.  I caught the security guy watching me several times.  It is creepy and makes someone want to go somewhere they can shop in peace.  I've worked retail.  I know you have to be aware of the shoppers, but come on, you're not a detective in hot pursuit of a hardened criminal.  At another Ross store, I (not willingly) overheard the security guard, a clerk, and what I think might have been a manager (!) flirting and talking about some really personal things LOUDLY.  Not cool.   And to Meg Z. (another Yelper who posted here), it most certainly is the clerk's job to remove the paper filling from a bag you purchase because she is supposed to be checking that no one put anything in there with intent to steal it.  You're right to be pissed about it because if the alarm had sounded at the door, you would have been blamed for sticking something in the purse you bought.",0,0,0
e22cX-_NYVYPqdMK1ALY_w,OcrcitVhcUKR11Rr4GCrCw,puToOfvg1Vzfbyp3ATKRjQ,2.0,2009-04-09 00:09:02,"My two teenage girls love this store. I finally figured out why! You can buy a POS shirt and then just throw it away! They can wear a new shirt everyday! Considering they fall apart after one wearing or at least one washing. The few things I have bought for myself have gone to crap after two wearings and never quite get thier shape back after washing. It is a fun place to people watch though. I actually saw two older ladies fighting over a nightgown. Now you can't beat that!!  The staff is too rude for words. One commented on a tattoo I have and then had the nerve to ask me how much I paid. Shocked, I actually answered her. Then she proceeded to tell me that I paid too much for crappy work! WTF?? Will never go back!",0,2,0
IpvwBVn18Jcalt30WD7mYw,X0k5QSscuvmkJ4KSg_FRvw,K4l-QrTWeAjb5xOXd81iGw,2.0,2014-06-14 12:10:22,"This has to be the worst Ross I have ever been to.  It is a mess, everything is torn up...laying in isles, mismatched stuff on shelves.  Nothing makes sense in here it's organized like a landfill.  You can probably still find a deal in here, but it's gonna take all day wandering around.  Why do the ""loss Prevention"" guys wear a jacket marked loss prevention?? That seems pretty stupid.",1,0,0
qZXmAwLUjYKmjLaQ6OZc8w,X0k5QSscuvmkJ4KSg_FRvw,Um5bfs5DH6eizgjH3xZsvg,3.0,2014-12-18 21:52:02,"Contrary to other reviews, this is NOT the worst Ross out there. Sure it has it's issues, and yes, like any other major discount retailers, the clothing is a bit jumbled and discombobulated. But for the most part it's an OK shopping experience.   The Loss Prevention person hangs out near the door, is more like a Walmart greeter, if you ask me. Yes, their presence is seen, but what do they actually do? Not a lot, really. Nothing they CAN do, honestly.  Since the holiday hours have been extended, they're currently open til 12:30 am or 1:30 am on any given night. This means, no long waiting lines to check out.   Heck! I walked away with 4 new dresses last night, all of them looked great.  I'll continue to shop here when I can!",1,1,2
2cTFWHtfVe4PAYTinjyqkg,hPf3hARxhNNqajMo7aoKrg,TBKoi6jgdapf0m49rrAhBQ,1.0,2018-04-21 23:22:14,Terrible worker lady running around putting clothes back on racks was extremely rude. Practically knocking into me as I was trying to look at items on a rack .  She never said excuse me or apologized.  Then she was banging on all the dressing room doors asking abruptly if everyone had a number for their items.  Seems they are in need of some customer service training.,0,0,0
